Ticker,annual_return,volatility,cluster,risks
AAPL,0.2899233739533241,0.2897470361074252,2,medium
ABBV,0.2119665044891305,0.2584175071890321,0,low
ABT,0.1585634070978746,0.2353938838684368,0,low
ADBE,0.18068224869257818,0.3383033334371168,2,medium
AEP,0.12705752032101375,0.2090834932631576,0,low
AIG,0.10640910602130588,0.32572318286293184,0,low
ALL,0.17397640336117506,0.24706733628997615,0,low
AMAT,0.3976304248883643,0.4197852660679394,1,high
AMD,0.6464116994202846,0.588424118654453,1,high
AMGN,0.13829226933991332,0.24639274942846284,0,low
AMT,0.12742000411095306,0.25878502935855435,0,low
AMZN,0.26566300755602956,0.32741051756593437,2,medium
ANET,0.45106487375864984,0.44394208600093626,1,high
APA,0.17782641244088804,0.587195123416132,2,medium
ARE,0.040985766291565105,0.2802673054053074,0,low
AVB,0.06547637655502486,0.24647650707726154,0,low
AVGO,0.43875556960184614,0.38886421891596346,1,high
AXP,0.23869300784059333,0.3173849286769144,2,medium
BA,0.16462479012960474,0.4143848687409003,2,medium
BAC,0.20157326824048974,0.31181070913096576,2,medium
BDX,0.08297194879741004,0.23228433726909273,0,low
BK,0.18682124781437268,0.27113735606514444,0,low
BKNG,0.20941450122468705,0.32111071868346863,2,medium
BKR,0.16679973274690366,0.3948682036204606,2,medium
BLK,0.20060369076073556,0.27661029327029046,0,low
BMY,0.05505672365078524,0.2508909895073603,0,low
BXP,0.03297849247934313,0.3175459745609959,0,low
C,0.18829675308912777,0.3333833311832871,2,medium
CAT,0.3098223505182994,0.30401001845425496,2,medium
CCI,0.08651546898313327,0.25302700299765235,0,low
CI,0.1251170069486439,0.30656007419268483,0,low
CL,0.06957579588845779,0.19400034405924776,0,low
CMCSA,0.06880992885350315,0.258137052772063,0,low
CMG,0.20903117088347287,0.3553078245513939,2,medium
COF,0.22097649259325344,0.3700359542497687,2,medium
COP,0.20524023445154282,0.384533971011764,2,medium
COST,0.22697552629458168,0.21921614382899005,0,low
CRM,0.18226428343102766,0.35039911413559865,2,medium
CSCO,0.17733216412572136,0.24997939583833073,0,low
CSX,0.2106099783059698,0.2786772547680113,0,low
CVX,0.15758297882827074,0.29294118999781993,0,low
D,0.05613306744954756,0.23455313897831429,0,low
DE,0.2584884412369889,0.3001371905590031,2,medium
DG,0.14097242669377488,0.3127693379748162,0,low
DHR,0.23720573269039438,0.31609627013429137,2,medium
DIS,0.0673736343241753,0.28456871143853907,0,low
DLR,0.15085928565136905,0.2817755350935814,0,low
DLTR,0.12746721288472618,0.36231829348783146,2,medium
DUK,0.1107702380474374,0.20410979975274093,0,low
DVN,0.21352075373248877,0.5130175978668893,2,medium
EBAY,0.19166962116359415,0.30928376886610787,2,medium
ED,0.09778066344342733,0.20977512974357387,0,low
EL,0.10703018381121004,0.3494344842728136,2,medium
ELV,0.16279411436098107,0.3026199092732726,0,low
EMR,0.19070598239537478,0.28509630964713417,0,low
EOG,0.1669980841608049,0.39547263173586256,2,medium
EQIX,0.15655926631389996,0.2716202009188358,0,low
EQR,0.05723021337417886,0.25019630547807054,0,low
ESS,0.07551962060240529,0.2595396052673701,0,low
ETN,0.2602559539799696,0.29468545669100016,2,medium
ETSY,0.38234736285305576,0.5604726539242381,1,high
EXC,0.14491117860002295,0.23962071654110967,0,low
FANG,0.2424761566486798,0.4926370282882746,2,medium
FDX,0.15999212341960994,0.3271551553918485,2,medium
FTNT,0.3494645322991894,0.4023892642317657,2,medium
GE,0.16134221944923594,0.3564316684403759,2,medium
GILD,0.09809441728344644,0.25629638715951825,0,low
GIS,0.03988181774579511,0.21670864314508315,0,low
GOOG,0.26775278538521474,0.2870828127843614,2,medium
GOOGL,0.26544113623817667,0.28790133495673514,2,medium
GS,0.2477834454786831,0.2964574034596552,2,medium
HAL,0.13761364561730396,0.4607544178717011,2,medium
HD,0.17007587273679148,0.24607875641813848,0,low
HLT,0.2617813654833263,0.29023842426418117,2,medium
HON,0.13807949879159775,0.23240700970973693,0,low
HSY,0.13706366900430197,0.22929765136706062,0,low
IBM,0.16265312232184959,0.24827909055699582,0,low
INTC,0.1541283901376759,0.40458511654281887,2,medium
INTU,0.23967247769667208,0.3183172582694538,2,medium
ISRG,0.26916085023897196,0.32142276135009257,2,medium
ITW,0.16818018808870708,0.2360041699816827,0,low
JNJ,0.12612563462818105,0.18381689832146836,0,low
JPM,0.2344567935986307,0.27572707707098015,2,medium
KHC,-0.025798466455196407,0.26837433688979384,0,low
KMB,0.033120908212411974,0.20741253646607322,0,low
KO,0.10007693801285235,0.1808996803834778,0,low
LLY,0.31300001725873294,0.29470144755312516,2,medium
LMT,0.1531446012361486,0.2330345415269113,0,low
LOW,0.19917784743277098,0.28895076104006495,2,medium
LRCX,0.45685786031665904,0.4343073737055937,1,high
MAR,0.235510008137329,0.3277395097964543,2,medium
MCD,0.14190216823692953,0.20320136388418678,0,low
MDLZ,0.07777361311043304,0.21176482732644208,0,low
MDT,0.07969315406461994,0.2300254434768463,0,low
MET,0.1532858086965188,0.30674830388980723,0,low
META,0.26339711383501435,0.38457933916584097,2,medium
MKC,0.0988161593929404,0.2341033365935584,0,low
MMM,0.10605609783820476,0.2606753303343973,0,low
MPC,0.261745275715492,0.4070176049253233,2,medium
MRK,0.13853991202007354,0.22588056939344853,0,low
MS,0.2777031574302381,0.31718804226600983,2,medium
MSFT,0.269728789768858,0.2669991281654903,2,medium
MU,0.4644332425036685,0.4834627940896174,1,high
NEE,0.1693415202678781,0.2519165109150905,0,low
NFLX,0.2994352173688788,0.4171871237819059,2,medium
NKE,0.07363823008386322,0.3175201551448675,0,low
NOW,0.29771928732931385,0.3981900048792813,2,medium
NSC,0.19998790953348344,0.27809053745185675,0,low
NVDA,0.6888265639086515,0.4981219544868325,1,high
O,0.09774567486215349,0.25769590390302827,0,low
ORCL,0.23904980070416704,0.33032715752336056,2,medium
OXY,0.11701163536059625,0.4844883279135047,2,medium
PANW,0.2795350010272942,0.388126890974784,2,medium
PCAR,0.2115636731087941,0.26192800107952885,0,low
PEG,0.12780189311354012,0.21881028728790602,0,low
PEP,0.09168284003470842,0.19361729998642518,0,low
PFE,0.05970630835466982,0.2380224040314836,0,low
PG,0.10870717131751227,0.1874400625786636,0,low
PH,0.30400683730930955,0.31507679328670457,2,medium
PLD,0.18823346536562527,0.27025128659397724,0,low
PM,0.14656314528178155,0.23798776025938198,0,low
PNC,0.1686003070442608,0.2968089898385669,0,low
PRU,0.14891875665912763,0.3211301523417104,2,medium
PSA,0.08304439701849888,0.23436315763551877,0,low
PSX,0.15730703951707492,0.35151569321935655,2,medium
QCOM,0.22386834123995822,0.3749660119229997,2,medium
REGN,0.10484752382443492,0.3275563966724094,0,low
ROK,0.22088380034152416,0.30947005490176405,2,medium
ROST,0.19060389696710267,0.3147539921355216,2,medium
RTX,0.19345403594163496,0.27452898197069325,0,low
SBUX,0.10997162705148661,0.29223193617636406,0,low
SCHW,0.20526922468374434,0.33681417877201564,2,medium
SHOP,0.6071643430211257,0.5850280655317978,1,high
SJM,0.0459058615628799,0.23985654917197696,0,low
SLB,0.0802557805409499,0.40277492641752954,2,medium
SO,0.12761881564426572,0.2183082042857149,0,low
SPG,0.11803005758736085,0.3704602673680058,2,medium
SRE,0.13104457367070554,0.24760403921827348,0,low
STT,0.1735258567460692,0.3305048184134776,2,medium
STZ,0.05918977760565012,0.2660585543618513,0,low
T,0.08837606956290783,0.23237072435260356,0,low
TAP,0.010172002083162436,0.2817904294991541,0,low
TFC,0.13935828375621834,0.3356188017986218,2,medium
TGT,0.13249012359148718,0.33054685220318897,2,medium
TJX,0.20076079019919327,0.2599678944966437,0,low
TMO,0.1900591518308299,0.2589682353478463,0,low
TMUS,0.20033221353841418,0.26149872027252324,0,low
TSLA,0.523014991515311,0.59273502748111,1,high
TXN,0.20932346922291303,0.2985929624788955,2,medium
UNH,0.1694689259413147,0.29024959311539417,0,low
UNP,0.16836152203804772,0.25321393028812306,0,low
UPS,0.09154543627488297,0.26958697937240117,0,low
USB,0.11430375812105381,0.3025033296758648,0,low
VLO,0.22334665756833813,0.40346401429442036,2,medium
VRTX,0.2096697651461968,0.33493395714344776,2,medium
VTR,0.13826369263862645,0.3491213340010332,2,medium
VZ,0.05941034930434105,0.19861997059270636,0,low
WELL,0.19245383735692065,0.3209283027513272,2,medium
WFC,0.14126763374508308,0.3208692896638003,2,medium
WM,0.1806901473689403,0.1926977078136696,0,low
WMT,0.2162840182564527,0.21544469558140275,0,low
XEL,0.12499356048307556,0.21519061587752716,0,low
XOM,0.13546043443945022,0.2788242187468969,0,low
YUM,0.16214537331769502,0.22777163537302297,0,low
ZTS,0.14828665238127733,0.2594748105078698,0,low
